TimeToSolve= 109.722
Objective= 20.018
tf= 21
RelativeGap= 0.0001
LowerBound= 20.0159982
Iteration t = 0, location = 18
Iteration t = 1, location = 50
Iteration t = 2, location = 11
Iteration t = 3, location = 51
Iteration t = 4, location = 18
Iteration t = 5, location = 12
Iteration t = 6, location = 14
Iteration t = 7, location = 52
Iteration t = 8, location = 11
Iteration t = 9, location = 53
Iteration t = 10, location = 63
Iteration t = 11, location = 15
Iteration t = 12, location = 62
Iteration t = 13, location = 19
Iteration t = 14, location = 14
Iteration t = 15, location = 12
Iteration t = 16, location = 7
Iteration t = 17, location = 8
Iteration t = 18, location = 65
Iteration t = 19, location = 15
Iteration t = 20, location = 64
